"station","name","lon","lat"
2200272,"Городня",31.63883781,51.91453171
2204440,"Білопілля",34.2710228,51.14197922
2214089,"Дружківка",37.546314,48.627392
2214133,"Голубівка",38.6049,48.650386
2210905,"Нововесела",34.880454,47.025448
2210705,"Кіровська",35.221618,45.226609
2208355,"Кам'янка",32.067778,49.049167
2200175,"Разіне",27.95582199,50.05255508
2214113,"Рубіжне",38.37450409,49.00254059
2218098,"Ходорів",24.30907822,49.40077591
2210715,"Краснофлотське",34.929326,45.339292
2210920,"Синельникове-1",35.52536011,48.31430435
2208338,"Золотоноша 1",32.07800674,49.65669632
2218065,"Солотвина 1",23.87702942,47.9498024
2218206,"Галич",24.73268127,49.13707352
2200179,"Хролин",27.2443161,50.15074158
2214063,"Святогірськ",37.55025482,49.07539368
2210745,"Острякове",34.03021,45.127474
2219085,"Тересва",23.69994164,47.99584961
2201785,"Яблунець",28.06484413,50.80627441
2204613,"Нові Санжари",34.406173,49.328421
2214008,"Кремінне",38.23712158,49.05345154
2218105,"Тячів",23.576641,48.014984
2204618,"Яблучне",35.23279953,50.29663086
2218089,"Тухля",23.4779892,48.91998291
2208532,"Каховка",33.43161774,46.75306702
2218160,"Буштина",23.49448776,48.05618286
2208336,"Драбове-Барятинське",32.30500793,49.95981216
2218879,"Гребенів",23.470483,48.976383
2204515,"Губарівка",35.37490082,50.17750549
2218204,"Бурштин",24.64759827,49.2172699
2200185,"Могиляни",26.55732536,50.41514206
2214168,"Слов'яносербськ",38.91008759,48.54615021
2200224,"Холонівська",28.34675789,49.49175262
2219115,"Хуст",23.2977562,48.16163254
2218240,"Трускавець",23.51211548,49.2828064
2218220,"Заліщики",25.73849678,48.64538956
2214264,"Оленівка",37.65007401,47.8357048
2204540,"Прилуки",32.38375473,50.58162689
2218155,"Дрогобич",23.54364204,49.35503006
2218295,"Королево",23.14097023,48.15351868
2218170,"Виноградів-Закарпатський",23.026213,48.134167
2204510,"Ромни",33.46837616,50.7490921
